== SCENES 背景色 vs 正文色 对比度（硬指标 >= 7:1） ==
正文色: AppText=0xFF1A1A1A, AppText2=0xFF424244
scene        color        AppText  AppText2 判定
rec          0xFFEDE7F6   14.39    8.29     OK
daily        0xFFE0F7FA   15.63    9.00     OK
market       0xFFE8F5E9   15.47    8.91     OK
transit      0xFFE3F2FD   15.24    8.78     OK
hospital     0xFFFFEBEE   15.22    8.77     OK
bank         0xFFFFF8E1   16.38    9.44     OK
gov          0xFFF3E5F5   14.37    8.28     OK
food         0xFFFFF3E0   15.87    9.14     OK
phone        0xFFE8EAF6   14.53    8.37     OK
medicine     0xFFE0F2F1   15.03    8.66     OK
express      0xFFEFEBE9   14.69    8.47     OK
property     0xFFECEFF1   15.07    8.68     OK
appliance    0xFFF0F4C3   15.28    8.80     OK
emergency    0xFFFBE9E7   14.84    8.55     OK
weather      0xFFE1F5FE   15.49    8.93     OK

最差项: gov 8.28:1
