词          本库                       pypinyin
洗衣机        xǐ yī jī                 xǐ yī jī
漂洗         piǎo xǐ                  piǎo xǐ
制热         zhì rè                   zhì rè
制冷         zhì lěng                 zhì lěng
解冻         jiě dòng                 jiě dòng
除霜         chú shuāng               chú shuāng
能效标识       néng xiào biāo shí       néng xiào biāo shí
功率         gōng lǜ                  gōng lǜ
当心触电       dāng xīn chù diàn        dāng xīn chù diàn
洗涤         xǐ dí                    xǐ dí
脱水         tuō shuǐ                 tuō shuǐ
冷藏室        lěng cáng shì            lěng cáng shì
冷冻室        lěng dòng shì            lěng dòng shì
温度调节       wēn dù tiáo jié          wēn dù tiáo jié
水位         shuǐ wèi                 shuǐ wèi
快洗         kuài xǐ                  kuài xǐ
除湿         chú shī                  chú shī
送风         sòng fēng                sòng fēng
微波         wēi bō                   wēi bō
烧烤         shāo kǎo                 shāo kǎo
火力         huǒ lì                   huǒ lì
保温         bǎo wēn                  bǎo wēn
加热         jiā rè                   jiā rè
水温         shuǐ wēn                 shuǐ wēn
燃气灶        rán qì zào               rán qì zào
电磁炉        diàn cí lú               diàn cí lú
信号源        xìn hào yuán             xìn hào yuán
油烟机        yóu yān jī               yóu yān jī
静音         jìng yīn                 jìng yīn
频道         pín dào                  pín dào
