rank,char,freq,freq_rank
1,一,3050722,2
2,乙,8313,1863
3,二,267506,157
4,十,338954,112
5,丁,23479,1168
6,厂,33468,963
7,七,76766,530
8,卜,7301,1967
9,人,1867999,7
10,入,192433,210
11,八,92700,451
12,九,94580,445
13,几,192355,211
14,儿,207827,192
15,了,2128528,5
16,力,359136,106
17,乃,23520,1165
18,刀,27292,1067
19,又,302933,126
20,三,304272,125
21,于,630524,40
22,干,120564,353
23,亏,9884,1731
24,士,115704,372
25,工,317532,118
26,土,79809,515
27,才,181725,235
28,寸,8056,1894
29,下,621185,42
30,大,1054064,17
31,丈,20372,1241
32,与,345532,108
33,万,134220,322
34,上,1069575,16
35,小,410987,83
36,口,191936,212
37,巾,4967,2250
38,山,168142,259
39,千,67843,599
40,乞,4073,2392
41,川,25575,1109
42,亿,27897,1057
43,个,1199580,12
44,勺,1357,3054
45,久,62588,637
46,凡,30533,1013
47,及,202671,198
48,夕,7025,1991
49,丸,3847,2421
50,么,477969,63
51,广,87900,468
52,亡,33917,957
53,门,212769,185
54,义,193507,208
55,之,609003,44
56,尸,13609,1514
57,弓,5315,2200
58,己,250894,162
59,已,318143,117
60,子,640640,37
61,卫,58408,669
62,也,710259,31
63,女,185188,224
64,飞,122290,347
65,刃,2858,2629
66,习,57329,676
67,叉,5299,2202
68,马,155772,276
69,乡,36025,922
70,丰,22439,1188
71,王,143948,299
72,井,15158,1429
73,开,377012,94
74,夫,114784,377
75,天,419884,78
76,无,359265,105
77,元,116488,370
78,专,84361,485
79,云,54510,692
80,扎,15600,1409
81,艺,45218,786
82,木,54433,694
83,五,154316,279
84,支,96814,437
85,厅,20989,1216
86,不,2237915,4
87,太,180490,240
88,犬,3042,2587
89,区,164775,265
90,历,85487,480
91,尤,25908,1099
92,友,68196,594
93,匹,8025,1898
94,车,118824,361
95,巨,36351,913
96,牙,31466,997
97,屯,2268,2763
98,比,200645,199
99,互,42579,819
100,切,126391,337
101,瓦,22229,1194
102,止,68082,596
103,少,183018,233
104,日,363763,101
105,中,1104541,14
106,冈,6651,2033
107,贝,24675,1133
108,内,231331,175
109,水,198933,202
110,见,269080,153
111,午,30985,1004
112,牛,30047,1018
113,手,280442,143
114,毛,64522,623
115,气,190687,217
116,升,41105,837
117,长,342148,109
118,仁,17263,1357
119,什,267869,156
120,片,90559,455
121,仆,8976,1804
122,化,224729,178
123,仇,13118,1533
124,币,22592,1187
125,仍,67490,601
126,仅,82729,494
127,斤,8365,1857
128,爪,4419,2328
129,反,181385,237
130,介,41749,831
131,父,68576,589
132,从,369958,98
133,今,126624,336
134,凶,16707,1376
135,分,419382,79
136,乏,16010,1397
137,公,318626,115
138,仓,8275,1873
139,月,240566,169
140,氏,13868,1497
141,勿,3400,2512
142,欠,7682,1935
143,风,121803,348
144,丹,19171,1278
145,匀,2890,2623
146,乌,20291,1243
147,凤,13817,1501
148,勾,6780,2021
149,文,274222,148
150,六,85830,478
151,方,492763,60
152,火,97760,433
153,为,1039036,18
154,斗,69456,580
155,忆,17829,1331
156,订,22991,1175
157,计,171949,251
158,户,43810,801
159,认,191866,213
160,心,392228,90
161,尺,14422,1471
162,引,85740,479
163,丑,8067,1892
164,巴,74917,546
165,孔,18890,1287
166,队,162938,268
167,办,116904,367
168,以,910627,23
169,允,15027,1440
170,予,35757,925
171,劝,12587,1559
172,双,69440,581
173,书,151357,282
174,幻,15371,1415
175,玉,31279,1001
176,刊,20458,1240
177,示,98963,425
178,末,23526,1164
179,未,110491,385
180,击,107513,395
181,打,186146,223
182,巧,20964,1218
183,正,296810,129
184,扑,13748,1506
185,扒,1623,2960
186,功,92052,452
187,扔,8045,1895
188,去,476270,64
189,甘,15654,1406
190,世,214990,181
191,古,80454,509
192,节,80074,514
193,本,388118,92
194,术,131634,328
195,可,723108,30
196,丙,3055,2583
197,左,45568,782
198,厉,17726,1337
199,右,45561,783
200,石,102149,414
201,布,113652,380
202,龙,54169,696
203,平,191267,215
204,灭,34135,953
205,轧,1367,3049
206,东,206238,194
207,卡,52244,717
208,北,136939,315
209,占,49980,737
210,业,296169,130
211,旧,36291,915
212,帅,8249,1879
213,归,35153,933
214,且,144597,295
215,旦,18569,1298
216,目,180827,239
217,叶,36032,920
218,甲,25620,1106
219,申,25531,1110
220,叮,3188,2553
221,电,183834,230
222,号,84335,487
223,田,45886,778
224,由,292199,136
225,史,90469,456
226,只,370059,97
227,央,44052,799
228,兄,26386,1089
229,叼,797,3259
230,叫,110131,387
231,另,83702,489
232,叨,2344,2748
233,叹,18587,1297
234,四,184874,226
235,生,682031,34
236,失,115346,375
237,禾,936,3218
238,丘,7886,1918
239,付,42527,820
240,仗,10263,1705
241,代,231734,174
242,仙,20051,1254
243,们,1169853,13
244,仪,19064,1281
245,白,148728,286
246,仔,12428,1569
247,他,1595761,10
248,斥,8464,1848
249,瓜,8740,1819
250,乎,90127,458
251,丛,10665,1671
252,令,114570,378
253,用,535480,51
254,甩,3208,2545
255,印,62179,640
256,乐,64965,619
257,句,52891,707
258,匆,11540,1619
259,册,13462,1522
260,犯,47098,767
261,外,295645,131
262,处,194237,206
263,冬,16368,1382
264,鸟,19698,1261
265,务,176085,245
266,包,91240,454
267,饥,5689,2147
268,主,399693,87
269,市,169522,254
270,立,204985,197
271,闪,25427,1113
272,兰,61951,642
273,半,80183,513
274,汁,3564,2492
275,汇,22608,1186
276,头,274911,147
277,汉,52656,711
278,宁,30001,1019
279,穴,7772,1928
280,它,346173,107
281,讨,41717,833
282,写,93710,448
283,让,125660,339
284,礼,35612,926
285,训,29911,1022
286,必,174963,248
287,议,116810,368
288,讯,20488,1237
289,记,139501,306
290,永,40936,842
291,司,155229,278
292,尼,60474,654
293,民,335796,113
294,出,755256,28
295,辽,6300,2067
296,奶,19219,1276
297,奴,15917,1400
298,加,243648,166
299,召,21098,1212
300,皮,49803,741
301,边,136277,316
302,发,572904,47
303,孕,6256,2075
304,圣,33620,960
305,对,703632,33
306,台,109362,388
307,矛,15059,1438
308,纠,10064,1716
309,母,71462,565
310,幼,12257,1574
311,丝,29585,1026
312,式,142292,303
313,刑,26453,1087
314,动,426839,73
315,扛,1921,2857
316,寺,8200,1883
317,吉,40081,856
318,扣,11505,1622
319,考,82688,495
320,托,44052,800
321,老,223050,179
322,执,47543,763
323,巩,4344,2348
324,圾,3102,2572
325,扩,28331,1051
326,扫,15140,1433
327,地,969349,21
328,扬,26509,1084
329,场,173632,249
330,耳,37939,887
331,共,128824,330
332,芒,5174,2221
333,亚,100251,420
334,芝,5832,2124
335,朽,3526,2495
336,朴,6261,2073
337,机,339823,111
338,权,144506,297
339,过,589925,46
340,臣,24553,1138
341,再,179607,242
342,协,50123,735
343,西,243619,167
344,压,48038,756
345,厌,11376,1629
346,在,2009181,6
347,有,1782004,8
348,百,103938,407
349,存,110970,384
350,而,649239,36
351,页,24861,1128
352,匠,6142,2090
353,夸,7594,1943
354,夺,22148,1198
355,灰,18298,1309
356,达,147907,289
357,列,82418,500
358,死,136194,317
359,成,499007,59
360,夹,9574,1751
361,轨,8273,1874
362,邪,12952,1536
363,划,78648,522
364,迈,10432,1691
365,毕,26148,1093
366,至,163582,267
367,此,318534,116
368,贞,4414,2331
369,师,128086,333
370,尘,10137,1711
371,尖,18036,1319
372,劣,8067,1893
373,光,147639,290
374,当,429274,71
375,早,89623,462
376,吐,11132,1648
377,吓,14620,1463
378,虫,18909,1285
379,曲,27401,1066
380,团,104151,405
381,同,437611,69
382,吊,6637,2036
383,吃,85976,475
384,因,371612,96
385,吸,35891,924
386,吗,91639,453
387,屿,3098,2573
388,帆,3874,2418
389,岁,46835,772
390,回,239243,172
391,岂,10036,1719
392,刚,64622,621
393,则,149042,284
394,肉,30820,1009
395,网,67118,605
396,年,601887,45
397,朱,25195,1120
398,先,210628,188
399,丢,11285,1635
400,舌,7511,1946
401,竹,12000,1585
402,迁,11433,1626
403,乔,14107,1485
404,伟,25591,1107
405,传,128186,332
406,乒,1086,3144
407,乓,1032,3175
408,休,26539,1082
409,伍,14425,1469
410,伏,16181,1387
411,优,46613,774
412,伐,9028,1802
413,延,25768,1103
414,件,172895,250
415,任,212485,186
416,伤,59632,660
417,价,103634,409
418,份,45408,784
419,华,103158,412
420,仰,16940,1366
421,仿,19870,1257
422,伙,28724,1047
423,伪,12654,1553
424,自,611687,43
425,血,59944,658
426,向,276986,146
427,似,98057,431
428,后,570764,48
429,行,531848,53
430,舟,5363,2196
431,全,305248,124
432,会,734888,29
433,杀,68776,587
434,合,239277,171
435,兆,5204,2216
436,企,93453,450
437,众,80390,510
438,爷,30930,1006
439,伞,5511,2174
440,创,63156,635
441,肌,7830,1924
442,朵,12435,1568
443,杂,40265,853
444,危,42080,826
445,旬,4671,2299
446,旨,10590,1678
447,负,54616,691
448,各,193435,209
449,名,198481,203
450,多,481689,61
451,争,124420,344
452,色,142231,304
453,壮,15151,1430
454,冲,53378,702
455,冰,27201,1070
456,庄,29679,1024
457,庆,19487,1267
458,亦,37960,886
459,刘,48600,751
460,齐,27480,1063
461,交,135727,320
462,次,214857,183
463,衣,51134,725
464,产,265164,159
465,决,157959,273
466,充,54812,690
467,妄,6228,2078
468,闭,19515,1265
469,问,288237,137
470,闯,5954,2107
471,羊,17763,1335
472,并,281616,141
473,关,302473,127
474,米,69668,575
475,灯,25401,1115
476,州,51533,721
477,汗,14011,1487
478,污,15696,1403
479,江,69602,577
480,池,10289,1702
481,汤,11620,1615
482,忙,42026,827
483,兴,76760,531
484,宇,23891,1156
485,守,44264,796
486,宅,8464,1849
487,字,108218,393
488,安,183210,232
489,讲,73220,555
490,军,362526,102
491,许,166034,263
492,论,197165,205
493,农,88412,465
494,讽,4713,2289
495,设,142742,302
496,访,29134,1037
497,寻,33469,962
498,那,638538,38
499,迅,26321,1090
500,尽,84270,488
501,导,124463,343
502,异,52735,709
503,孙,31506,995
504,阵,44899,788
505,阳,60867,650
506,收,120897,351
507,阶,49058,745
508,阴,31936,987
509,防,74459,548
510,奸,7132,1980
511,如,449036,67
512,妇,35188,932
513,好,411866,82
514,她,388612,91
515,妈,48622,750
516,戏,29402,1033
517,羽,8366,1856
518,观,127796,334
519,欢,55294,685
520,买,47788,758
521,红,81852,502
522,纤,6166,2086
523,级,102018,415
524,约,99148,424
525,纪,69045,584
526,驰,6199,2081
527,巡,12852,1541
528,寿,11646,1612
529,弄,28205,1053
530,麦,23271,1171
531,形,162049,269
532,进,412166,81
533,戒,12510,1563
534,吞,9142,1789
535,远,110455,386
536,违,22751,1183
537,运,123903,345
538,扶,11659,1609
539,抚,10100,1713
540,坛,9049,1798
541,技,99790,422
542,坏,41723,832
543,扰,14252,1480
544,拒,17892,1329
545,找,88247,466
546,批,70580,569
547,扯,6325,2066
548,址,8541,1840
549,走,193619,207
550,抄,5433,2186
551,坝,2552,2701
552,贡,12785,1545
553,攻,68747,588
554,赤,10981,1654
555,折,24737,1131
556,抓,31675,992
557,扮,7372,1962
558,抢,15596,1410
559,孝,6112,2096
560,均,36842,903
561,抛,10477,1685
562,投,79708,516
563,坟,4402,2335
564,抗,47342,766
565,坑,5223,2212
566,坊,3546,2493
567,抖,9584,1750
568,护,76993,529
569,壳,7813,1925
570,志,75904,542
571,扭,9054,1797
572,块,44475,793
573,声,206083,195
574,把,340730,110
575,报,182411,234
576,却,148679,287
577,劫,8752,1817
578,芽,2717,2660
579,花,103367,410
580,芹,765,3271
581,芬,8218,1881
582,苍,10027,1721
583,芳,12015,1583
584,严,75278,545
585,芦,3806,2435
586,劳,56119,679
587,克,166044,262
588,苏,68487,590
589,杆,6944,1999
590,杠,1732,2919
591,杜,19246,1275
592,材,34237,952
593,村,52603,712
594,杏,2538,2705
595,极,117736,363
596,李,86593,472
597,杨,27561,1062
598,求,138216,312
599,更,187378,221
600,束,31370,998
601,豆,9179,1785
602,两,294600,133
603,丽,41363,834
604,医,84620,482
605,辰,4755,2284
606,励,14512,1465
607,否,64772,620
608,还,415855,80
609,歼,8910,1807
610,来,1079469,15
611,连,106814,399
612,步,121267,349
613,坚,48749,748
614,旱,3636,2478
615,盯,8041,1896
616,呈,12567,1560
617,时,833532,25
618,吴,24632,1135
619,助,66867,607
620,县,38407,877
621,里,537795,50
622,呆,17746,1336
623,园,31925,988
624,旷,2731,2658
625,围,69641,576
626,呀,35343,929
627,吨,10403,1693
628,足,77385,527
629,邮,11137,1647
630,男,67405,602
631,困,39172,868
632,吵,6709,2027
633,串,8695,1824
634,员,200217,200
635,听,148988,285
636,吩,4866,2266
637,吹,16180,1388
638,呜,3341,2519
639,吧,87536,470
640,吼,5814,2125
641,别,186634,222
642,岗,9163,1787
643,帐,11798,1600
644,财,56037,680
645,针,25384,1116
646,钉,5059,2236
647,告,138285,310
648,我,1690048,9
649,乱,47474,765
650,利,268813,155
651,秃,3640,2477
652,秀,24620,1136
653,私,29700,1023
654,每,119594,359
655,兵,106982,398
656,估,17943,1324
657,体,273792,149
658,何,184335,229
659,但,374459,95
660,伸,23732,1161
661,作,542791,49
662,伯,42513,821
663,伶,2148,2792
