生活域	任务	步骤	词条	提示语
就医	社区医院开药	进院	导诊台	进门先问这里，护士告诉你去哪个科
就医	社区医院开药	进院	挂号处	看病第一步，先来这里登记
就医	社区医院开药	进院	门诊时间	牌子上写着上午下午几点看病
就医	社区医院开药	进院	请戴口罩	进门要先把口罩戴好
就医	社区医院开药	挂号	挂号	先登记拿号，才能看病
就医	社区医院开药	挂号	身份证	挂号要用的证件，一定要带
就医	社区医院开药	挂号	医保卡	刷卡看病能少花钱
就医	社区医院开药	挂号	老年科	专门给上了年纪的人看病的科室
就医	社区医院开药	挂号	内科	身体里面不舒服，看这个科
就医	社区医院开药	挂号	三楼	坐电梯或走楼梯到三楼
就医	社区医院开药	候诊	候诊区	坐在这儿等叫号的地方
就医	社区医院开药	候诊	请等候	还没轮到你，先坐着等等
就医	社区医院开药	候诊	叫号	屏幕上出现你的号，就轮到你了
就医	社区医院开药	候诊	请勿喧哗	这里要保持安静，说话小点声
就医	社区医院开药	候诊	请排队	一个一个来，不要插队
就医	社区医院开药	就诊	姓名	医生问你的名字，要写在单子上
就医	社区医院开药	就诊	年龄	今年多大岁数，要说清楚
就医	社区医院开药	就诊	血压	胳膊上绑带子量出来的数
就医	社区医院开药	就诊	头晕	脑袋发晕，站不稳
就医	社区医院开药	就诊	咳嗽	嗓子发痒，咳个不停
就医	社区医院开药	就诊	过敏	吃了某些东西会不舒服，要提前说
就医	社区医院开药	缴费	收费处	交钱的地方
就医	社区医院开药	缴费	缴费	把钱交上去，才算办完
就医	社区医院开药	缴费	窗口	玻璃后面办事的那个口子
就医	社区医院开药	缴费	现金	纸币和硬币
就医	社区医院开药	缴费	找零	交了整钱，退回来的零钱
就医	社区医院开药	取药	取药窗口	拿着单子来这里拿药
就医	社区医院开药	取药	用法用量	写着怎么吃、一次吃多少
就医	社区医院开药	取药	饭前	吃饭以前吃
就医	社区医院开药	取药	饭后	吃完饭以后再吃
就医	社区医院开药	取药	一日三次	一天吃三回
就医	社区医院开药	取药	忌辛辣	吃药期间别吃辣的
就医	社区医院开药	取药	有效期	过了这个日子，药就不能吃了
就医	社区医院开药	离院	复诊	过些日子还要再来给医生看
就医	社区医院开药	离院	预约	提前定好下次来的时间
就医	社区医院开药	离院	下次再来	医生嘱咐的话，别忘了
