生活域	任务	步骤	词条	提示语
购物	超市买菜	出门	购物袋	自己带上袋子，干净又省钱
购物	超市买菜	出门	公交卡	坐车要刷的卡，别忘了带
购物	超市买菜	出门	零钱	备一点现金，有的地方不收手机付
购物	超市买菜	进门	超市	卖各种吃穿用的地方
购物	超市买菜	进门	入口	从这里进去
购物	超市买菜	进门	出口	从这里出来
购物	超市买菜	进门	购物车	推着走，把要买的东西放里面
购物	超市买菜	进门	购物篮	买得少，提这个就够了
购物	超市买菜	选购	蔬菜	青菜、白菜这一类
购物	超市买菜	选购	水果	苹果、香蕉这一类
购物	超市买菜	选购	肉类	猪肉、鸡肉这一类
购物	超市买菜	选购	鸡蛋	一盒一盒卖，挑完整的
购物	超市买菜	选购	粮油	大米、面粉和油
购物	超市买菜	选购	调料	盐、酱油、醋，做菜用的
购物	超市买菜	选购	特价	降价卖的，便宜
购物	超市买菜	选购	促销	搞活动，围着买的人多
购物	超市买菜	选购	原价	没打折以前的价格
购物	超市买菜	选购	现价	现在卖多少钱
购物	超市买菜	选购	会员价	办了会员卡才有的便宜价
购物	超市买菜	选购	生产日期	东西是哪天做出来的
购物	超市买菜	选购	保质期	过了这个日子就不能吃了
购物	超市买菜	称重	称重	论斤卖的东西要先过秤
购物	超市买菜	称重	计价	秤上会显示该收多少钱
购物	超市买菜	称重	标签	贴在包装上的小纸条，写着价钱
购物	超市买菜	结账	收银台	排队交钱的地方
购物	超市买菜	结账	排队	一个一个来，别插队
购物	超市买菜	结账	扫码	拿手机对着方块晃一下就行
购物	超市买菜	结账	现金	交纸币和硬币
购物	超市买菜	结账	找零	给多了，退回来的钱
购物	超市买菜	结账	小票	交完钱给你的长条纸，别扔
购物	超市买菜	结账	发票	能拿去报销的正式单据
购物	超市买菜	装袋	环保袋	能反复用的布袋子
购物	超市买菜	装袋	塑料袋	薄薄的袋子，用一次就坏
购物	超市买菜	回家	电梯	上下楼坐的
购物	超市买菜	回家	楼梯	一层一层走上去的
