词,拼音,用途
地铁站,dì tiě zhàn,看到这仨字，就是坐地铁的地方
公交站,gōng jiāo zhàn,等公共汽车的牌子
从前门上车,cóng qián mén shàng chē,车门上贴着，上车走前面那扇门
换乘,huàn chéng,在这里换另一趟车
下一站,xià yī zhàn,广播说这三个字后，就是站名了
首班车,shǒu bān chē,早上的第一班车
末班车,mò bān chē,晚上最后一班，错过就没了
票价,piào jià,坐一趟车多少钱
投币,tóu bì,把硬币、纸币投进箱子
刷卡,shuā kǎ,上车时卡贴一下机器，嘀一声
老年卡,lǎo nián kǎ,老年人坐车免费的卡
让座,ràng zuò,把座位让给需要的人
终点站,zhōng diǎn zhàn,车开的最后一站
进站口,jìn zhàn kǒu,坐地铁从这里进
安检,ān jiǎn,包放机器上过一下检查
禁止携带,jìn zhǐ xié dài,这些东西不许带上车
先下后上,xiān xià hòu shàng,让下车的人先下来
小心缝隙,xiǎo xīn fèng xì,上车注意脚下的空当
站台,zhàn tái,站着等车的地方
老弱病残孕,lǎo ruò bìng cán yùn,这排座位要让给他们
天桥,tiān qiáo,过马路的天上桥
路口,lù kǒu,马路交叉的地方，过街要看灯
人行横道,rén xíng héng dào,白条条的路面，过马路走这里
导航,dǎo háng,手机上指路的软件，屏幕上就有这两个字
无人售票,wú rén shòu piào,车上贴着，自己投币刷卡，没人收钱
扫码乘车,sǎo mǎ chéng chē,车门口的牌子，用手机扫码就能坐车
屏蔽门,píng bì mén,站台上隔在人和轨道中间的玻璃门
无障碍电梯,wú zhàng ài diàn tī,推轮椅、拉行李能坐的电梯，有牌子
一卡通,yī kǎ tōng,公交地铁都能刷的卡，充值点有牌子
扶梯,fú tī,会自己动的楼梯，商场地铁里都有
充值,chōng zhí,公交卡钱不够，来这里加钱
时刻表,shí kè biǎo,站牌上写着头班末班几点，照着等车
爱心专座,ài xīn zhuān zuò,车厢里那排黄座位，专门让给老人
勿越黄线,wù yuè huáng xiàn,站台上黄线外的字，等车别踩过去
站稳扶好,zhàn wěn fú hǎo,车厢里贴着，抓好扶手别摔
请勿倚靠,qǐng wù yǐ kào,车门上贴着，别靠着门站
安全锤,ān quán chuí,车窗边挂的小锤，砸玻璃用
地铁,dì tiě,地底下跑的车，通道牌子上写着
公交车,gōng jiāo chē,路上跑的公共汽车，站牌上有
出租车,chū zū chē,招手就停的小车，车顶挂灯牌
开往,kāi wǎng,站台显示屏上写着，后面就是方向
