词,拼音,用途
挂号处,guà hào chù,看病第一步，先来这里登记
叫号,jiào hào,屏幕上出现您的号，就轮到您了
取药窗口,qǔ yào chuāng kǒu,拿到药方后，来这里拿药
门诊,mén zhěn,普通看病的地方
急诊,jí zhěn,病得厉害，赶紧来这里
住院,zhù yuàn,住在医院里治病
出院,chū yuàn,病好了，可以回家
病历本,bìng lì běn,记你看病史的小本
处方,chǔ fāng,医生开的买药单子
输液,shū yè,俗称打吊瓶
量血压,liáng xuè yā,袖带绑胳膊上量一量
测血糖,cè xuè táng,指尖扎一下测一测
抽血,chōu xuè,化验前先抽一管血
化验,huà yàn,血和尿送去检查
拍片,pāi piàn,站着不动照个相
彩超,cǎi chāo,肚子上抹油、滑滑的检查
心电图,xīn diàn tú,检查心脏的曲线图
医保卡,yī bǎo kǎ,看病能报销的卡
报销,bào xiāo,花的钱能退一部分
过敏,guò mǐn,对某些东西受不了，看病要跟医生说
复查,fù chá,过几天再来看一次
候诊区,hòu zhěn qū,在这里坐着等叫号
缴费处,jiǎo fèi chù,看病交钱的地方
高血压,gāo xuè yā,血压高，天天按时吃药
糖尿病,táng niào bìng,少吃甜，常测血糖
药盒,yào hé,装药的盒子
说明书,shuō míng shū,药盒里那张纸，吃前看一眼
口服,kǒu fú,倒进嘴里咽下去
外用,wài yòng,抹在皮肤上的，不能吃
一日三次,yī rì sān cì,早中晚各吃一回
一次一片,yī cì yī piàn,每回吃一片，别多吃
饭后服用,fàn hòu fú yòng,吃完饭再吃药
饭前服用,fàn qián fú yòng,吃饭前空腹吃
睡前服用,shuì qián fú yòng,晚上睡觉前吃
遵医嘱,zūn yī zhǔ,医生说怎么吃，就怎么吃
有效期,yǒu xiào qī,过了这个日子，不能再吃
胶囊,jiāo náng,软软长条，装着药粉
药片,yào piàn,圆圆的小片药，药盒上写着
冲剂,chōng jì,倒进热水搅化再喝
膏药,gāo yào,贴在疼的地方
退烧药,tuì shāo yào,烧得厉害才吃
降压药,jiàng yā yào,血压高的人天天吃
降糖药,jiàng táng yào,血糖高的人天天吃
毫克,háo kè,药盒上标的量，数字后面的两个字
克,kè,药袋上标的量，比毫克大
毫升,háo shēng,药水瓶上标的量，喝多少看它
OTC,O T C,药盒角落的三个字母，不用开单就能买
非处方药,fēi chǔ fāng yào,药店自己就能买的药，不用开单
就诊卡,jiù zhěn kǎ,挂号看病用的卡，插机器取号
化验单,huà yàn dān,血、尿检查的结果单
输液室,shū yè shì,打吊瓶的地方，挂着一排瓶子
护士,hù shi,打针、量体温的那些人
科室,kē shì,看病分科，挂号先选对
发热,fā rè,药盒上写的，就是身上发烫
咳嗽,ké sòu,一阵阵咳，药盒上写着
头痛,tóu tòng,脑袋一阵阵疼，药盒上写着
腹泻,fù xiè,药盒上写的，就是拉肚子
口罩,kǒu zhào,一包一包卖，出门遮住口鼻
创可贴,chuàng kě tiē,小长条，贴在划破的伤口上
医生,yī shēng,穿白大褂、给你看病的人
病房,bìng fáng,住院住的房间，门口有床号
手术室,shǒu shù shì,开刀的地方，门口写着这三个字
轮椅,lún yǐ,带轮子的椅子，腿脚不便坐它
陪护,péi hù,病区告示上写着，就是陪床照顾
导医台,dǎo yī tái,大厅里问路的那张桌子
B超,B chāo,肚子上滑一滑的检查，单子上有
中医,zhōng yī,号脉、抓中药的科室，和西医不一样
眼科,yǎn kē,看眼睛的科室，走廊牌子上写着
骨科,gǔ kē,看骨头、腰腿疼的科室
口腔科,kǒu qiāng kē,看牙的科室，门口牌子上写着
