词,拼音,用途
冰箱,bīng xiāng,冷藏冷冻两用的大柜子
洗衣机,xǐ yī jī,洗衣服的机器
空调,kōng tiáo,夏天制冷、冬天制热
电视机,diàn shì jī,看频道、看新闻的
电饭锅,diàn fàn guō,煮饭的那口锅
热水器,rè shuǐ qì,洗澡烧热水的
电风扇,diàn fēng shàn,夏天吹风的机器，摇头送凉风
电水壶,diàn shuǐ hú,烧开水的小壶，底座一按就烧
微波炉,wēi bō lú,转盘热饭的机器，机身上写着名字
电源,diàn yuán,机器上管通电的那个键
开关,kāi guān,一按开、一按关
指示灯,zhǐ shì dēng,亮着，说明机器在通电
定时,dìng shí,定好几点开始、几点停
自动,zì dòng,机器自己拿主意，不用管
手动,shǒu dòng,得自己一下一下按
烘干,hōng gān,把湿衣服烘干的档，洗衣机上有
模式,mó shì,面板上的键，选机器怎么干活
风速,fēng sù,风的大小，分高中低几档
节能,jié néng,省电的那一档，机身上贴着这种标
童锁,tóng suǒ,按住它锁住按键，小孩乱按也不起作用
照明,zhào míng,油烟机、微波炉上的灯，按一下就亮
遥控器,yáo kòng qì,手里那个长条的按键板
频道,pín dào,台号，按加号换下一个台
音量,yīn liàng,声音的大小
静音,jìng yīn,一点声音都没有
信号源,xìn hào yuán,电视上换着看，机顶盒还是影碟机
电池,diàn chí,遥控器后盖里装的，没电了换新的
保修卡,bǎo xiū kǎ,坏了免费修，要凭这张卡
合格证,hé gé zhèng,说明书里的一张纸，证明东西是好的
型号,xíng hào,一长串字母数字，报修要报它
功率,gōng lǜ,费不费电，看这个数
能效标识,néng xiào biāo shí,绿黄红条的贴纸，绿的最省电
当心触电,dāng xīn chù diàn,别用手碰这里，会电到人
禁止覆盖,jìn zhǐ fù gài,上面别盖布、别捂东西
请勿用水冲洗,qǐng wù yòng shuǐ chōng xǐ,不能拿水浇着洗
小心烫手,xiǎo xīn tàng shǒu,这里热，别直接上手摸
接地线,jiē dì xiàn,通到地里的那根线，防漏电
漏电保护,lòu diàn bǎo hù,漏了电，它会自己断掉
插头,chā tóu,插进插座的那一头
插座,chā zuò,墙上带电的孔
电源线,diàn yuán xiàn,连着插头的那根电线
冷藏室,lěng cáng shì,冰箱上面不结冰的那层
冷冻室,lěng dòng shì,冻肉、冻冰棍的那层
除霜,chú shuāng,把里面的结冰清掉
温度调节,wēn dù tiáo jié,转一下，调冷调热
保鲜,bǎo xiān,冰箱上面那格，菜放这里不容易坏
洗涤,xǐ dí,洗的那一段
漂洗,piǎo xǐ,用清水把泡沫冲干净
脱水,tuō shuǐ,转起来把水甩干
水位,shuǐ wèi,洗衣机放多少水，分高中低三档
快洗,kuài xǐ,十几分钟就洗完的那一档
制冷,zhì lěng,出冷风，夏天用
制热,zhì rè,出热风，冬天用
除湿,chú shī,抽走潮气，屋里不黏
送风,sòng fēng,只吹风，不冷也不热
微波,wēi bō,转起来热饭的那一档
烧烤,shāo kǎo,上面烤，表面烤得焦香
解冻,jiě dòng,把冻硬的肉化开
火力,huǒ lì,大小火，热得快慢不一样
煮饭,zhǔ fàn,按了它就自己把饭煮熟
煮粥,zhǔ zhōu,熬稀饭那一档，费时间
保温,bǎo wēn,饭熟了不凉，一直温着
加热,jiā rè,把水烧热
水温,shuǐ wēn,热水器出来的水有多热
油烟机,yóu yān jī,灶台上方抽烟的机器
燃气灶,rán qì zào,点火的灶，用完关阀门
电磁炉,diàn cí lú,平板上烧锅的那种灶
清洁,qīng jié,洗衣机、油烟机上的档位，专门洗机器
温度,wēn dù,冷热看这个数，按加号调高
速冻,sù dòng,冰箱上那个键，让东西冻得快
标准洗,biāo zhǔn xǐ,洗衣机最常用的那档，平常衣服都用它
睡眠,shuì mián,空调上那个键，风小了、不吵人
客服电话,kè fú diàn huà,坏了就打这个号，说明书上印着
