词,拼音,用途
上,shàng,位置的上面
下,xià,位置的下面
水,shuǐ,喝的、洗的都靠它
火,huǒ,做饭取暖要用它，小心烫
门,mén,进出走的门
洗手,xǐ shǒu,用水把两只手洗干净
衣服,yī fu,穿在身上的
裤子,kù zi,穿在两条腿上的
鞋子,xié zi,穿在脚上的
电话,diàn huà,打给别人的通话工具
手机,shǒu jī,随身带的小电话
充电,chōng diàn,没电了插上线，慢慢充满
充电器,chōng diàn qì,插头带线那个，给手机充电的
二维码,èr wéi mǎ,小方块的图，手机扫它付钱、加人
紧急电话,jǐn jí diàn huà,有急事就打这些号
报警电话,bào jǐng diàn huà,遇到坏人打110
急救电话,jí jiù diàn huà,人不行了打120
火警电话,huǒ jǐng diàn huà,着火了打119
推,tuī,门上的字，往外推才开
拉,lā,门上的字，往里拉才开
男,nán,男厕所门上的字
女,nǚ,女厕所门上的字
开,kāi,面板上标的这一档，按了通电
关,guān,面板上标的这一档，按了断电
免费,miǎn fèi,不要钱的，停车场、量血压都写着
收费,shōu fèi,要交钱的，公厕、停车场门口挂着
洗发露,xǐ fà lù,洗头发的，瓶身上印着这三个字
沐浴露,mù yù lù,洗澡用的，瓶子上印着
香皂,xiāng zào,洗手洗脸的肥皂，纸包装上印着
牙膏,yá gāo,刷牙用的，管子上印着
牙刷,yá shuā,刷牙用的，包装上印着
毛巾,máo jīn,洗脸擦身子用的，布上的标签印着
洗手液,xǐ shǒu yè,按一下出水洗手，瓶子上印着
洗洁精,xǐ jié jīng,洗碗用的，瓶子上印着
洗衣粉,xǐ yī fěn,洗衣服的白粉，袋子上面印着
洗衣液,xǐ yī yè,洗衣服的液体，瓶子上面印着
消毒液,xiāo dú yè,擦地擦桌子消毒用的，瓶子上印着
药店,yào diàn,门口挂十字灯的店，买药的地方
感冒,gǎn mào,流鼻涕打喷嚏，药盒上印着这俩字
体温计,tǐ wēn jì,夹在胳膊底下量热度的细管子
测体温,cè tǐ wēn,门口告示上常写着，进门先量一下热不热
卫生纸,wèi shēng zhǐ,上厕所用的纸，包装上印着
抽纸,chōu zhǐ,一抽一张的纸巾，盒子、袋子上面印着
湿巾,shī jīn,带水的小纸巾，小包装上印着
